basin_id,stations_num_swr_mean,stations_dens_swr_mean,stations_num_sp_mean,stations_dens_sp_mean,stations_num_t_mean,stations_dens_t_mean,stations_num_t_max,stations_dens_t_max,stations_num_ws_mean,stations_dens_ws_mean,stations_num_p_mean,stations_dens_p_mean,stations_num_t_min,stations_dens_t_min,stations_num_rh_mean,stations_dens_rh_mean
AT000103,5.0,0.033,5.0,0.033,5.0,0.033,5.0,0.033,5.0,0.033,5.0,0.033,5.0,0.033,5.0,0.033
AT000104,4.0,0.052,4.0,0.052,4.0,0.052,4.0,0.052,4.0,0.052,4.0,0.052,4.0,0.052,4.0,0.052
AT000105,5.0,0.034,4.0,0.027,6.0,0.041,7.0,0.047,6.0,0.041,6.0,0.041,7.0,0.047,6.0,0.041
AT000106,6.0,0.018,5.0,0.015,7.0,0.021,8.0,0.024,7.0,0.021,7.0,0.021,8.0,0.024,7.0,0.021
AT000107,11.0,0.066,10.0,0.06,12.0,0.072,12.0,0.072,13.0,0.078,13.0,0.078,12.0,0.072,12.0,0.072
AT000108,16.0,0.023,14.0,0.02,19.0,0.028,20.0,0.029,19.0,0.028,24.0,0.035,20.0,0.029,19.0,0.028
AT000109,3.0,0.063,1.0,0.021,4.0,0.085,4.0,0.085,4.0,0.085,5.0,0.106,4.0,0.085,4.0,0.085
AT000110,4.0,0.036,1.0,0.009,5.0,0.046,6.0,0.055,4.0,0.036,12.0,0.109,6.0,0.055,5.0,0.046
AT000111,2.0,0.01,2.0,0.01,4.0,0.019,4.0,0.019,3.0,0.015,5.0,0.024,5.0,0.024,4.0,0.019
AT000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT000113,2.0,0.025,2.0,0.025,4.0,0.049,4.0,0.049,3.0,0.037,4.0,0.049,4.0,0.049,4.0,0.049
AT000114,2.0,0.049,2.0,0.049,4.0,0.098,4.0,0.098,3.0,0.074,4.0,0.098,4.0,0.098,4.0,0.098
AT000115,2.0,0.044,2.0,0.044,4.0,0.088,4.0,0.088,3.0,0.066,4.0,0.088,4.0,0.088,4.0,0.088
AT000116,3.0,0.095,3.0,0.095,5.0,0.158,5.0,0.158,4.0,0.126,5.0,0.158,5.0,0.158,5.0,0.158
AT000117,3.0,0.005,3.0,0.005,6.0,0.01,6.0,0.01,5.0,0.008,7.0,0.012,7.0,0.012,6.0,0.01
AT000118,3.0,0.04,4.0,0.054,7.0,0.094,7.0,0.094,7.0,0.094,7.0,0.094,7.0,0.094,7.0,0.094
AT000119,1.0,0.088,1.0,0.088,1.0,0.088,1.0,0.088,1.0,0.088,1.0,0.088,1.0,0.088,1.0,0.088
AT000120,3.0,0.024,4.0,0.031,8.0,0.063,8.0,0.063,8.0,0.063,8.0,0.063,8.0,0.063,8.0,0.063
AT000121,4.0,0.045,5.0,0.056,9.0,0.101,9.0,0.101,9.0,0.101,9.0,0.101,9.0,0.101,9.0,0.101
AT000122,2.0,0.033,3.0,0.049,8.0,0.13,8.0,0.13,8.0,0.13,6.0,0.098,8.0,0.13,8.0,0.13
AT000123,6.0,0.037,9.0,0.055,14.0,0.086,15.0,0.092,14.0,0.086,13.0,0.08,15.0,0.092,14.0,0.086
AT000124,8.0,0.083,11.0,0.115,18.0,0.187,19.0,0.198,17.0,0.177,17.0,0.177,19.0,0.198,17.0,0.177
