provider_id,code_basins,provider_country,country_code,provider_name,license_redistribution,platform,num_stations,start_date,end_date,website,source_license,source_streamflow,source_gauges_infos,references,observations
DE_RP,DERP,GERMANY,DE,"Rheinland-Pfalz: Ministerum für klimaschutz, umwelt, energie und mobilität",-,Contact form,,,,https://wasserportal.rlp-umwelt.de,https://wasserportal.rlp-umwelt.de/kartendienste,https://wasserportal.rlp-umwelt.de/auskunftssysteme/wasserstand-und-abfluss/karte-der-pegel,https://wasserportal.rlp-umwelt.de/auskunftssysteme/wasserstand-und-abfluss/karte-der-pegel,"MKUEM. Ministerum für klimaschutz, umwelt, energie und mobilität: Rheinland-Pfalz, Germany. https://wasserportal.rlp-umwelt.de (data received: 13 Mar 2023).",
DK_ODA,DK,DENMARK,DK,Overfladevandsdatabasen (ODA),PSI Act/CC0/CC-BY,Website,,,,https://odaforalle.au.dk/login.aspx,https://odaforalle.au.dk/main.aspx; https://arealdata.miljoeportal.dk/terms,https://odaforalle.au.dk/login.aspx,https://odaforalle.au.dk/login.aspx,"ODA. Overfladevandsdatabasen: Aarhus University, Denmark. https://odaforalle.au.dk/login.aspx (last access: 17 Jul 2023).",One needs to leave their e-mail to access the data. 
EE_GRDC,EEGR,ESTONIA,EE,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
ES_CEDEX,ES,SPAIN,ES,Centro de Estudios y Experimentación de Obras Publicas (CEDEX),-,Website,,,,https://ceh.cedex.es/anuarioaforos/default.asp,Hydrological yearbooks,https://ceh.cedex.es/anuarioaforos/demarcaciones.asp,https://ceh.cedex.es/anuarioaforos/demarcaciones.asp,"CEDEX. Centro de Estudios y Experimentación de Obras Publicas: Anuario de aforos 2019-2020, Spain. https://ceh.cedex.es/anuarioaforos/demarcaciones.asp (last access: 12 Apr 2023).","The user can download the data per hydrological region (e.g., AUGAS DE GALICIA – XUNTA DE GALICIA, C.H. CANTABRICO) and daily streamflow is called: ""AFLIQ.CSV"". "
FI_SYKE,FI,FINLAND,FI,Finish Environmental Institute (SYKE),CC BY 4.0,Website,,,,https://www.syke.fi,https://www.syke.fi/fi-FI/Avoin_tieto/Kayttolupa_ja_vastuut,https://wwwp2.ymparisto.fi/scripts/kirjaudu.asp,https://wwwp2.ymparisto.fi/scripts/kirjaudu.asp,"FEI. Finish Environmental Institute, Finland. https://wwwp2.ymparisto.fi/scripts/kirjaudu.asp (last access: 10 Jul 2023).",Link to make an account: https://www.syke.fi/fi-FI/Avoin_tieto/Ymparistotietojarjestelmat/Rekisteroityminen;
FR_EAUFRANCE,FR,FRANCE,FR,BanqueHydro: Hydro Portail,-,Website,,,,https://www.hydro.eaufrance.fr,-,https://www.hydro.eaufrance.fr,https://www.hydro.eaufrance.fr,"BanqueHydro. Hydro Portail, France. https://www.hydro.eaufrance.fr/ (last access: 06 Jul 2023).",
GB_NRFA,GB,GREAT BRITAIN,GB,National River flow Archive (NRFA) – UK Centre for Ecology & Hydrology,No-redistribution,Website,,,,https://nrfa.ceh.ac.uk,https://eidc.ceh.ac.uk/licences/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain,https://nrfaapps.ceh.ac.uk/nrfa/nrfa-api.html,https://nrfaapps.ceh.ac.uk/nrfa/nrfa-api.html,"NRFA. National River Flow Archive API, United Kingdom.  https://nrfaapps.ceh.ac.uk/nrfa/nrfa-api.html (last access: 07 Jul 2023).","The user can either use an API, or the online portal for the data download. The API is a easier way to download data from many stations at once. "
GR_GRDC,GRGR,GREECE,GR,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
GR_HCMR,GRHC,GREECE,GR,Institute of Marine Biological Resources and Inland Waters (HCMR),No-redistribution,Website,,,,https://hydro-stations.hcmr.gr,https://hydro-stations.hcmr.gr/όροι-χρήσης-της-ιστοσελίδας-hydro-stations-hcmr-gr/,https://hydro-stations.hcmr.gr/%cf%80%ce%b1%cf%81%ce%bf%cf%87%ce%ae-%cf%80%ce%bf%cf%84%ce%b1%ce%bc%cf%8e%ce%bd/,https://hydro-stations.hcmr.gr/%cf%80%ce%b1%cf%81%ce%bf%cf%87%ce%ae-%cf%80%ce%bf%cf%84%ce%b1%ce%bc%cf%8e%ce%bd/,"HCRM. Institute of Marine Biological Resources and Inland Waters, Greece. https://hydro-stations.hcmr.gr/%cf%80%ce%b1%cf%81%ce%bf%cf%87%ce%ae-%cf%80%ce%bf%cf%84%ce%b1%ce%bc%cf%8e%ce%bd/ (last access: 12 Oct 2023).",
GR_OPENHI,GROH,GREECE,GR,Open Hydrosystem Information Network (OpenHI),-,Website,,,,https://openhi.net/en/,-,https://openhi.net/en/,https://openhi.net/en/,"OHIN. Open Hydrosystem Information Network, Greece. https://openhi.net/en/ (last access: 12 Oct 2023).",
